Time,	Acc X,	Acc Y,	Acc Z,	GYR X,	GYR Y,	GYR Z
0.005647440813984772,	-0.15000000596046448,	0.0,	9.539999961853027,	0.0,	0.125,	-0.0625
0.011294881627969544,	-0.1899999976158142,	0.0,	9.539999961853027,	0.0,	0.125,	-0.0625
0.016942322441954316,	-0.1899999976158142,	0.0,	9.539999961853027,	-0.0625,	0.0625,	0.0
0.022589763255939088,	-0.1899999976158142,	-0.009999999776482582,	9.539999961853027,	0.125,	0.0,	0.0
0.02823720406992386,	-0.18000000715255737,	-0.009999999776482582,	9.5600004196167,	0.125,	0.0,	0.0
0.03388464488390863,	-0.18000000715255737,	-0.009999999776482582,	9.5600004196167,	0.125,	0.0,	-0.0625
0.039532085697893404,	-0.18000000715255737,	0.0,	9.539999961853027,	0.125,	0.0,	-0.0625
0.045179526511878176,	-0.18000000715255737,	0.0,	9.550000190734863,	-0.0625,	-0.0625,	-0.0625
0.05082696732586295,	-0.1899999976158142,	0.0,	9.550000190734863,	-0.0625,	-0.0625,	-0.0625
0.05647440813984772,	-0.1899999976158142,	0.0,	9.550000190734863,	0.0,	-0.0625,	-0.0625
0.06212184895383249,	-0.1899999976158142,	-0.019999999552965164,	9.529999732971191,	0.0,	-0.0625,	-0.0625
0.06776928976781726,	-0.1599999964237213,	-0.019999999552965164,	9.539999961853027,	0.0,	0.0,	-0.1875
0.07341673058180204,	-0.1599999964237213,	-0.019999999552965164,	9.539999961853027,	-0.1875,	0.0,	-0.0625
0.07906417139578681,	-0.14000000059604645,	-0.009999999776482582,	9.550000190734863,	-0.1875,	0.0,	-0.0625
0.08471161220977158,	-0.1599999964237213,	0.0,	9.569999694824219,	0.125,	0.125,	-0.1875
0.09035905302375635,	-0.18000000715255737,	0.0,	9.550000190734863,	0.125,	0.125,	-0.1875
0.09600649383774112,	-0.18000000715255737,	0.0,	9.550000190734863,	0.125,	-0.125,	-0.1875
0.1016539346517259,	-0.17000000178813934,	0.0,	9.569999694824219,	0.125,	-0.125,	-0.1875
0.10730137546571067,	-0.18000000715255737,	0.0,	9.569999694824219,	0.0625,	0.0625,	-0.0625
0.11294881627969544,	-0.18000000715255737,	0.0,	9.569999694824219,	0.0,	0.0625,	-0.0625
0.11859625709368021,	-0.17000000178813934,	0.0,	9.550000190734863,	0.0,	0.0625,	-0.0625
0.12424369790766499,	-0.17000000178813934,	-0.009999999776482582,	9.550000190734863,	0.0625,	0.0,	-0.1875
0.12989113872164976,	-0.17000000178813934,	-0.009999999776482582,	9.550000190734863,	0.0625,	0.0,	-0.1875
0.13553857953563453,	-0.17000000178813934,	0.0,	9.529999732971191,	0.0,	0.0625,	-0.0625
0.1411860203496193,	-0.1599999964237213,	-0.019999999552965164,	9.539999961853027,	0.0,	0.0625,	-0.0625
0.14683346116360407,	-0.17000000178813934,	-0.03999999910593033,	9.529999732971191,	0.0,	-0.125,	-0.125
0.15248090197758885,	-0.17000000178813934,	-0.03999999910593033,	9.529999732971191,	0.0,	-0.125,	-0.125
0.15812834279157362,	-0.17000000178813934,	-0.029999999329447746,	9.550000190734863,	0.0,	-0.25,	-0.125
0.1637757836055584,	-0.18000000715255737,	-0.029999999329447746,	9.529999732971191,	0.0625,	0.0,	-0.125
0.16942322441954316,	-0.18000000715255737,	-0.029999999329447746,	9.529999732971191,	0.0625,	0.0,	-0.125
0.17507066523352793,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0625,	0.0,	-0.1875
0.1807181060475127,	-0.1599999964237213,	-0.009999999776482582,	9.59000015258789,	0.0625,	0.0,	-0.1875
0.18636554686149748,	-0.1599999964237213,	-0.009999999776482582,	9.59000015258789,	0.0,	-0.125,	0.0625
0.19201298767548225,	-0.14000000059604645,	-0.009999999776482582,	9.5600004196167,	0.0,	-0.125,	0.0625
0.19766042848946702,	-0.18000000715255737,	0.0,	9.539999961853027,	0.125,	-0.0625,	-0.125
0.2033078693034518,	-0.1899999976158142,	-0.019999999552965164,	9.5600004196167,	0.0,	0.0,	-0.0625
0.20895531011743657,	-0.1899999976158142,	-0.019999999552965164,	9.5600004196167,	0.0,	0.0,	-0.0625
0.21460275093142134,	-0.18000000715255737,	-0.009999999776482582,	9.529999732971191,	0.0,	-0.125,	-0.0625
0.2202501917454061,	-0.1599999964237213,	0.009999999776482582,	9.529999732971191,	0.0,	-0.125,	-0.0625
0.22589763255939088,	-0.1599999964237213,	0.009999999776482582,	9.529999732971191,	-0.0625,	0.125,	0.0
0.23154507337337565,	-0.17000000178813934,	0.0,	9.550000190734863,	-0.0625,	0.125,	0.0
0.23719251418736043,	-0.18000000715255737,	0.0,	9.5600004196167,	0.0625,	0.0,	-0.0625
0.2428399550013452,	-0.15000000596046448,	0.0,	9.539999961853027,	0.0,	-0.0625,	-0.0625
0.24848739581532997,	-0.15000000596046448,	0.0,	9.539999961853027,	0.0,	-0.0625,	-0.0625
0.25413483662931474,	-0.1599999964237213,	-0.019999999552965164,	9.550000190734863,	0.0,	-0.125,	0.0
0.2597822774432995,	-0.1599999964237213,	-0.009999999776482582,	9.579999923706055,	0.0,	-0.125,	0.0
0.2654297182572843,	-0.1599999964237213,	-0.009999999776482582,	9.579999923706055,	-0.125,	0.0625,	-0.125
0.27107715907126906,	-0.1599999964237213,	-0.019999999552965164,	9.569999694824219,	-0.125,	0.0625,	-0.125
0.27672459988525383,	-0.1599999964237213,	-0.009999999776482582,	9.529999732971191,	0.0625,	0.0625,	-0.0625
0.2823720406992386,	-0.1599999964237213,	-0.009999999776482582,	9.529999732971191,	0.0625,	0.0625,	-0.0625
0.2880194815132234,	-0.1599999964237213,	-0.009999999776482582,	9.529999732971191,	-0.0625,	-0.125,	-0.0625
0.29366692232720815,	-0.15000000596046448,	0.0,	9.550000190734863,	0.0,	-0.0625,	-0.0625
0.2993143631411929,	-0.1599999964237213,	0.0,	9.539999961853027,	0.0,	-0.0625,	-0.0625
0.3049618039551777,	-0.1599999964237213,	0.0,	9.539999961853027,	0.0625,	0.0,	-0.0625
0.31060924476916246,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0625,	0.0,	-0.0625
0.31625668558314723,	-0.18000000715255737,	0.0,	9.5600004196167,	0.0,	0.0,	-0.1875
0.321904126397132,	-0.18000000715255737,	0.0,	9.5600004196167,	0.0,	0.0,	-0.1875
0.3275515672111168,	-0.1899999976158142,	-0.019999999552965164,	9.550000190734863,	-0.125,	-0.125,	-0.1875
0.33319900802510155,	-0.20000000298023224,	-0.029999999329447746,	9.520000457763672,	0.0,	0.0625,	-0.125
0.3388464488390863,	-0.1899999976158142,	0.0,	9.550000190734863,	0.0,	0.0625,	-0.125
0.3444938896530711,	-0.1899999976158142,	0.0,	9.550000190734863,	0.0,	-0.0625,	-0.0625
0.35014133046705587,	-0.17000000178813934,	0.0,	9.529999732971191,	0.0,	-0.0625,	-0.0625
0.35578877128104064,	-0.18000000715255737,	0.0,	9.5600004196167,	0.0,	0.0,	0.0625
0.3614362120950254,	-0.18000000715255737,	0.0,	9.5600004196167,	0.0,	0.0,	0.0625
0.3670836529090102,	-0.1599999964237213,	0.0,	9.529999732971191,	0.0625,	0.0625,	-0.0625
0.37273109372299496,	-0.17000000178813934,	0.0,	9.539999961853027,	-0.0625,	-0.125,	0.0
0.3783785345369797,	-0.17000000178813934,	0.0,	9.539999961853027,	-0.0625,	-0.125,	0.0
0.3840259753509645,	-0.1599999964237213,	0.0,	9.5600004196167,	0.0,	0.25,	-0.1875
0.38967341616494927,	-0.1599999964237213,	0.0,	9.510000228881836,	0.0,	0.25,	-0.1875
0.39532085697893404,	-0.18000000715255737,	0.0,	9.550000190734863,	-0.125,	-0.0625,	-0.0625
0.4009682977929188,	-0.18000000715255737,	0.0,	9.550000190734863,	-0.125,	-0.0625,	-0.0625
0.4066157386069036,	-0.18000000715255737,	0.0,	9.539999961853027,	0.0,	-0.0625,	-0.0625
0.41226317942088836,	-0.17000000178813934,	0.009999999776482582,	9.550000190734863,	0.0,	-0.0625,	-0.0625
0.41791062023487313,	-0.17000000178813934,	0.009999999776482582,	9.550000190734863,	-0.125,	0.0,	0.0
0.4235580610488579,	-0.1599999964237213,	0.0,	9.520000457763672,	-0.0625,	0.125,	-0.125
0.4292055018628427,	-0.17000000178813934,	-0.019999999552965164,	9.5600004196167,	-0.0625,	0.125,	-0.125
0.43485294267682745,	-0.17000000178813934,	-0.019999999552965164,	9.5600004196167,	0.125,	0.0,	-0.0625
0.4405003834908122,	-0.17000000178813934,	-0.019999999552965164,	9.529999732971191,	0.125,	0.0,	-0.0625
0.446147824304797,	-0.17000000178813934,	0.0,	9.520000457763672,	0.0,	0.125,	-0.125
0.45179526511878176,	-0.1599999964237213,	0.0,	9.550000190734863,	0.0,	0.125,	-0.125
0.45744270593276654,	-0.1599999964237213,	0.0,	9.550000190734863,	-0.0625,	-0.125,	-0.0625
0.4630901467467513,	-0.17000000178813934,	0.0,	9.529999732971191,	0.0,	-0.0625,	-0.0625
0.4687375875607361,	-0.1899999976158142,	0.0,	9.539999961853027,	0.0,	-0.0625,	-0.0625
0.47438502837472085,	-0.1899999976158142,	0.0,	9.539999961853027,	-0.0625,	0.0,	-0.0625
0.4800324691887056,	-0.18000000715255737,	0.0,	9.529999732971191,	-0.0625,	0.0,	-0.0625
0.4856799100026904,	-0.1899999976158142,	0.0,	9.550000190734863,	0.0625,	0.0,	-0.0625
0.49132735081667517,	-0.1899999976158142,	0.0,	9.529999732971191,	0.0625,	0.0,	-0.0625
0.49697479163065994,	-0.1899999976158142,	0.0,	9.529999732971191,	0.0625,	0.0,	-0.0625
0.5026222324446448,	-0.18000000715255737,	0.0,	9.5600004196167,	0.0625,	0.0,	-0.0625
0.5082696732586295,	-0.1899999976158142,	0.0,	9.539999961853027,	0.125,	-0.125,	-0.1875
0.5139171140726143,	-0.1899999976158142,	0.0,	9.539999961853027,	0.125,	-0.1875,	-0.0625
0.519564554886599,	-0.18000000715255737,	0.0,	9.5600004196167,	0.125,	-0.1875,	-0.0625
0.5252119957005839,	-0.1899999976158142,	-0.009999999776482582,	9.550000190734863,	0.0625,	-0.125,	-0.0625
0.5308594365145686,	-0.18000000715255737,	0.0,	9.539999961853027,	0.0625,	-0.125,	-0.0625
0.5365068773285534,	-0.18000000715255737,	0.0,	9.539999961853027,	-0.0625,	0.0,	-0.125
0.5421543181425381,	-0.17000000178813934,	-0.009999999776482582,	9.539999961853027,	-0.0625,	0.0,	-0.125
0.5478017589565229,	-0.1899999976158142,	0.0,	9.5600004196167,	0.0625,	0.0,	-0.25
0.5534491997705077,	-0.1899999976158142,	0.0,	9.5600004196167,	-0.0625,	0.0,	-0.0625
0.5590966405844925,	-0.17000000178813934,	0.0,	9.539999961853027,	-0.0625,	0.0,	-0.0625
0.5647440813984772,	-0.17000000178813934,	-0.009999999776482582,	9.569999694824219,	-0.0625,	0.125,	-0.125
0.570391522212462,	-0.17000000178813934,	-0.009999999776482582,	9.569999694824219,	-0.0625,	0.125,	-0.125
0.5760389630264467,	-0.18000000715255737,	0.0,	9.529999732971191,	0.0,	0.0625,	-0.0625
0.5816864038404316,	-0.17000000178813934,	0.0,	9.550000190734863,	0.0,	0.0625,	-0.0625
0.5873338446544163,	-0.1899999976158142,	0.0,	9.520000457763672,	0.0,	0.0,	-0.0625
0.5929812854684011,	-0.1899999976158142,	0.0,	9.520000457763672,	0.0,	0.0,	-0.0625
0.5986287262823858,	-0.18000000715255737,	0.0,	9.5600004196167,	-0.125,	0.1875,	-0.125
0.6042761670963707,	-0.18000000715255737,	-0.019999999552965164,	9.569999694824219,	-0.0625,	0.125,	0.0
0.6099236079103554,	-0.18000000715255737,	-0.019999999552965164,	9.569999694824219,	-0.0625,	0.125,	0.0
0.6155710487243402,	-0.15000000596046448,	0.0,	9.550000190734863,	0.0625,	0.0,	-0.0625
0.6212184895383249,	-0.17000000178813934,	-0.019999999552965164,	9.569999694824219,	0.0625,	0.0,	-0.0625
0.6268659303523098,	-0.17000000178813934,	-0.019999999552965164,	9.569999694824219,	-0.0625,	0.0,	-0.125
0.6325133711662945,	-0.17000000178813934,	0.0,	9.5600004196167,	-0.0625,	0.0,	-0.125
0.6381608119802793,	-0.1599999964237213,	0.0,	9.520000457763672,	-0.0625,	0.0,	-0.0625
0.643808252794264,	-0.17000000178813934,	0.0,	9.550000190734863,	-0.0625,	0.125,	-0.0625
0.6494556936082488,	-0.17000000178813934,	0.0,	9.550000190734863,	-0.0625,	0.125,	-0.0625
0.6551031344222336,	-0.1899999976158142,	-0.03999999910593033,	9.5600004196167,	0.125,	-0.125,	-0.0625
0.6607505752362184,	-0.15000000596046448,	-0.019999999552965164,	9.550000190734863,	0.125,	-0.125,	-0.0625
0.6663980160502031,	-0.15000000596046448,	-0.019999999552965164,	9.550000190734863,	0.0,	0.125,	-0.0625
0.6720454568641879,	-0.17000000178813934,	0.0,	9.550000190734863,	0.0,	0.125,	-0.0625
0.6776928976781726,	-0.1599999964237213,	-0.009999999776482582,	9.529999732971191,	-0.0625,	0.0625,	0.0
0.6833403384921575,	-0.1599999964237213,	-0.009999999776482582,	9.529999732971191,	-0.0625,	0.0625,	0.0
0.6889877793061422,	-0.18000000715255737,	0.0,	9.529999732971191,	-0.0625,	-0.0625,	-0.125
0.694635220120127,	-0.1899999976158142,	0.0,	9.539999961853027,	-0.0625,	0.0625,	-0.125
0.7002826609341117,	-0.1899999976158142,	0.0,	9.539999961853027,	-0.0625,	0.0625,	-0.125
0.7059301017480966,	-0.1899999976158142,	0.0,	9.539999961853027,	0.0,	0.0625,	-0.125
0.7115775425620813,	-0.18000000715255737,	0.0,	9.529999732971191,	0.0,	0.0625,	-0.125
0.7172249833760661,	-0.15000000596046448,	0.0,	9.550000190734863,	0.0,	0.0,	-0.125
0.7228724241900508,	-0.15000000596046448,	0.0,	9.550000190734863,	0.0,	0.0,	-0.125
0.7285198650040356,	-0.17000000178813934,	0.0,	9.579999923706055,	0.125,	-0.0625,	-0.0625
0.7341673058180204,	-0.1899999976158142,	0.0,	9.529999732971191,	0.125,	0.0,	-0.125
0.7398147466320052,	-0.1899999976158142,	0.0,	9.529999732971191,	0.125,	0.0,	-0.125
0.7454621874459899,	-0.18000000715255737,	0.0,	9.550000190734863,	-0.0625,	-0.0625,	-0.0625
0.7511096282599747,	-0.17000000178813934,	0.0,	9.539999961853027,	-0.0625,	-0.0625,	-0.0625
0.7567570690739595,	-0.1599999964237213,	0.009999999776482582,	9.539999961853027,	0.0,	0.0,	-0.125
0.7624045098879443,	-0.1599999964237213,	0.009999999776482582,	9.539999961853027,	0.0,	0.0,	-0.125
0.768051950701929,	-0.18000000715255737,	0.009999999776482582,	9.539999961853027,	-0.125,	0.0,	-0.125
0.7736993915159138,	-0.1899999976158142,	0.0,	9.529999732971191,	-0.125,	0.0,	-0.125
0.7793468323298985,	-0.1899999976158142,	0.0,	9.529999732971191,	-0.0625,	0.0,	-0.125
0.7849942731438834,	-0.18000000715255737,	0.0,	9.539999961853027,	0.0625,	0.0,	-0.125
0.7906417139578681,	-0.1599999964237213,	0.0,	9.550000190734863,	0.0625,	0.0,	-0.125
0.7962891547718529,	-0.1599999964237213,	0.0,	9.550000190734863,	0.0,	-0.0625,	-0.1875
